"Name","Value","Comment"
"B_Delete.Text","Excluir","Delete"
"EBI_Author.Text","Autor(s) : ","Author(s) : "
"EBI_Description.Text","Descrição:","Description : "
"EBI_ErrMsg1","O número da série não pode estar vazio","Series number cannot be empty"
"EBI_ErrMsg2","Número da série não é válido","Series number not valid"
"EBI_Genre.Text","Gênero(s) : ","Genre(s) : "
"EBI_Language.Text","Idioma(s) : ","Language(s) : "
"EBI_Msg1.Text","• (s) - Use ponto e vírgula ( ; ) para separar várias entradas."," • (s) - Use semi-colon ( ; ) to separate multiple entries."
"EBI_Publisher.Text","Editora(s) : ","Publisher(s) : "
"EBI_Series.Text","Série : ","Series : "
"EBI_SeriesNumber.Text","Número da série : ","Series Number : "
"EBI_Title.Text","Editar informações do livro","Edit book information"
"IAP_Discount.Text","20% de desconto","20% off"
"IAP_Popular.Text","Mais popular","Most Popular"
"M_AddBook.Text","Adicionar arquivo(s) de livro","Add book file(s)"
"M_AddFavourite.Text","Adicionar favorito","Add Favourite"
"M_AddFolder.Text","Adicionar pasta","Add folder"
"M_BookInfo.Text","Informações do livro","Book Info"
"M_CreationTime.Text","Data de criação","Creation time"
"M_Edit.Text","Editar","Edit"
"M_EditBookInfo.Text","Editar informações do livro","Edit Book Info"
"M_OpenBook.Text","Abrir Livro","Open Book"
"M_PinUnpin.Text","Fixar/desafixar para iniciar","Pin/Unpin to Start"
"M_PosInBook.Text","Posição no livro","Position in book"
"M_Remove.Text","Remover","Remove"
"M_RemoveFavourite.Text","Remover favorito","Remove Favourite"
"M_SaveToFile.Text","Salvar ao arquivo","Save to file"
"M_Share.Text","Compartilhar","Share"
"RI_No","Não","No"
"RI_Title.Text","Está gostando do Aquile Reader?","Are you enjoying Aquile Reader?"
"RI_Title2","Você dedicaria um momento para nos avaliar na loja?","Would you spare a moment to rate us on the store?"
"RI_Title3","Gostaria de compartilhar algum feedback conosco?","Would you like to share some feedback with us?"
"S_ActSub","Assinatura ativa","Active subscription"
"S_ActSub_Msg1","Parece que você já tem uma assinatura ativa. Cancele-a para evitar cobranças adicionais.","Looks like you already have an active subscription, make sure to cancel it to avoid additional billing."
"S_AddMore","Adicionar mais ...","Add more ..."
"S_AddSite_Err1","O título não pode estar vazio","Title cannot be empty"
"S_AddSite_Err2","O comprimento do título pode ser de até 100 caracteres","Title length can be up-to 100 chars"
"S_AdMsg1","Atualize para a versão PREMIUM","Upgrade to PREMIUM version"
"S_AdMsg2","Para remover anúncios e obter recursos adicionais, clique aqui.","To remove Ads and get additional features, click here."
"S_All","Todos","All"
"S_AppWidthBookInfo","Largura da janela do aplicativo muito pequena para abrir o painel de informações do livro.","App window width too small to open Book info pane."
"S_AppWidthLess","A largura da janela do aplicativo é muito pequena","App window width too less."
"S_AS_AvgPagePerHr","Média de páginas visualizadas por hora","Avg. number of pages flipped per hour"
"S_AS_AvgReadHours","Tempo médio de horas de leitura por dia","Avg. reading hours per day"
"S_AS_AvgTimePerPage","Média tempo de leitura (segundos) por página","Avg. reading time (sec) per page"
"S_AS_Msg1","Tem certeza de que deseja limpar todas as estatísticas?","Are you sure you want to clear all statistics?"
"S_AS_NumBooksLib","Número de livros na biblioteca","Number of books in library"
"S_AS_NumBooksRead","Número de livros lidos","Number of books read"
"S_AS_NumPagesTurned","Número de páginas visualizadas","Number of pages flipped"
"S_AS_SpeedWPM","Velocidade de leitura (palavras por minuto)","Reading speed (words per minute)"
"S_AS_TotalReadHours","Total de horas de leitura","Total reading hours"
"S_B_AppRestart","Reinicialização do aplicativo necessária","App restart needed"
"S_B_AppRestartFailed","Não é possível reiniciar o aplicativo, reinicie manualmente para que as alterações entrem em vigor.","Unable to restart the app, please restart manually for changes to take effect."
"S_B_Close","Fechar","Close"
"S_B_LangRestartMsg","A reinicialização do aplicativo é necessária para que a alteração do idioma de exibição entre em vigor. Você quer prosseguir?","App restart is required for display language change to take effect. Do you want to proceed?"
"S_B_OnlineBookContent1","Selecione o site de onde você deseja baixar o eBook.
 [1/4]","Select the website from where you want to download the eBook.
[1/4]"
"S_B_OnlineBookContent2","Navegue pelo catálogo e clique em qualquer link de download de eBook. O aplicativo fará o download do livro e o adicionará à biblioteca. 
[2/4]","Browse the catalog and click on any eBook download link. App will download the book and add it to the library.
[2/4]"
"S_B_OnlineBookContent3","Seus downloads vão aparecer aqui. 
[3/4]","Your downloads would appear here.
[3/4]"
"S_B_OnlineBookContent4","Adicione seu próprio site de onde deseja baixar eBooks.
 [4/4]","Add your own website from where you want to download eBooks.
[4/4]"
"S_B_OnlineBookTitle1","Selecione o site do e-book","Select eBook website"
"S_B_OnlineBookTitle2","Baixar eBook","Download eBook"
"S_B_OnlineBookTitle3","Acompanhar downloads","Track downloads"
"S_B_OnlineBookTitle4","Adicionar site de eBook's","Add eBook website"
"S_B_PauseReading","Pausar Leitura (Espaço)","Pause Reading (Space)"
"S_B_StartReading","Começar a ler (espaço)","Start Reading (Space)"
"S_B_TutDone","Pronto","Done"
"S_B_TutNext","Próximo","Next"
"S_B_TutReaderContent1","Toque nas bordas da tela, deslize a página, use as teclas ← / → do teclado ou use a roda de rolagem do mouse para ir para a página seguinte ou anterior.
 [1/8]","Tap on the edges of the screen, swipe the page, use ← / → keyboard keys or use mouse scroll wheel, to go to next or previous page.
[1/8]"
"S_B_TutReaderContent2","Selecione o texto ou clique com o botão direito do mouse em qualquer palavra para abrir o menu de contexto do Reader.
Você pode adicionar notas, realçar ou marcar informações por aqui. 
[2/8]","Select text or right click on any word to open the Reader context menu.
You can add note, highlight or bookmark from here.
[2/8]"
"S_B_TutReaderContent3","Acesse o índice do livro por aqui. 
[3/8]","Access the table of contents of the book from here.
[3/8]"
"S_B_TutReaderContent4","Suas notas e destaques são listados aqui. 
[4/8]","Your notes and highlights would be listed here.
[4/8]"
"S_B_TutReaderContent5","Suas marcações aparecem aqui. 
[5/8]","Set bookmarks would appear here.
[5/8]"
"S_B_TutReaderContent6","Pesquise no capítulo atual ou no livro inteiro.
 [6/8]","Search in the current chapter or the entire book.
[6/8]"
"S_B_TutReaderContent7","Você pode usar isso para ler o conteúdo do livro em voz alta (Conversão de texto em fala - TTS). 
[7/8]","You can use this to read aloud the book contents (text-to-speech).
[7/8]"
"S_B_TutReaderContent8","Você pode configurar o layout da página, estilo, esquema de cores, e outros a partir daqui. 
[8/8]","You can configure the page layout, style, color scheme, etc. from here.
[8/8]"
"S_B_TutReaderTitle1","Mudar de página","Page change"
"S_B_TutReaderTitle2","Menu de contexto do leitor","Reader context menu"
"S_B_TutReaderTitle3","Índice","Table of contents"
"S_B_TutReaderTitle4","Notas e destaques","Notes and highlights"
"S_B_TutReaderTitle5","Favoritos","Bookmarks"
"S_B_TutReaderTitle6","Buscar","Search"
"S_B_TutReaderTitle7","Ler em voz alta","ReadAloud"
"S_B_TutReaderTitle8","Estilo do texto","Text style"
"S_B_Upgrade","Atualizar","Upgrade"
"S_B_UpgradePremMsg","Atualizar para o Aquile Reader Premium!","Upgrade to Aquile Reader Premium!"
"S_Backup","Cópia de segurança","Backup"
"S_Backup_ErrMsg1","Selecione pelo menos uma configuração","Select at-least 1 configuration"
"S_Backup_ErrMsg2","Operação falhou. Por favor, contate o suporte.","Operation failed. Plz contact support."
"S_BannerAds","Banner de Anúncios","Banner Ads"
"S_BookAddedMsg","{0}: Livro adicionado com sucesso.","{0}: Book added successfully."
"S_BookAddStartScreen","Livro adicionado à tela inicial.","Book added to start screen."
"S_BookExistsMsg","{0}: O livro já existe.","{0}: Book already exists."
"S_BookFont","Fonte do livro","Book's font"
