"Name","Value","Comment"
"B_Add.Content","Add","Add"
"B_AddBook.ToolTipService.ToolTip","Add new book","Add new book"
"B_AddBookmark.ToolTipService.ToolTip","Add Bookmark","Add Bookmark"
"B_AddFolder.Content","Add folder","Add folder"
"B_AddNote.ToolTipService.ToolTip","Add Note","Add Note"
"B_AddSite.ToolTipService.ToolTip","Add new site","Add new site"
"B_AudioSettings.ToolTipService.ToolTip","Audio settings","Audio settings"
"B_Back.Content","Back","Back"
"B_Back1.ToolTipService.ToolTip","Back","Back"
"B_Backup_Bkp.Content","Backup","Backup"
"B_Backup_Restore.Content","Restore","Restore"
"B_Blog.ToolTipService.ToolTip","Read our blog","Read our blog"
"B_Bookmarks.ToolTipService.ToolTip","Bookmarks","Bookmarks"
"B_Cancel.Content","Cancel","Cancel"
"B_ChngLog.ToolTipService.ToolTip","Change log","Change log"
"B_ClearHighlight.ToolTipService.ToolTip","Clear highlight","Clear highlight"
"B_Close.Content","Close","Close"
"B_Close1.ToolTipService.ToolTip","Close","Close"
"B_Collapse.ToolTipService.ToolTip","Collapse","Collapse"
"B_ColorMenu.ToolTipService.ToolTip","Color Menu","Color Menu"
"B_ContactSupport.ToolTipService.ToolTip","Contact support","Contact support"
"B_Copy.ToolTipService.ToolTip","Copy","Copy"
"B_Credits.ToolTipService.ToolTip","Credits","Credits"
"B_Delete.Text","Delete","Delete"
"B_DeleteNote.ToolTipService.ToolTip","Delete note","Delete note"
"B_Done.ToolTipService.ToolTip","Done","Done"
"B_Downloads.ToolTipService.ToolTip","Downloads","Downloads"
"B_ExitReadingMode.ToolTipService.ToolTip","Exit Reading Mode (Ctrl + E)","Exit Reading Mode (Ctrl + E)"
"B_Expand.ToolTipService.ToolTip","Expand","Expand"
"B_ExportCollection.ToolTipService.ToolTip","Export collections","Export collections"
"B_Fb.ToolTipService.ToolTip","Like us on Facebook","Like us on Facebook"
"B_Female.Content","Female","Female"
"B_FilterFav.ToolTipService.ToolTip","Filter by favorites","Filter by favorites"
"B_Forward.ToolTipService.ToolTip","Forward","Forward"
"B_General.Content","Reset","Reset"
"B_GitHub.ToolTipService.ToolTip","GitHub","GitHub"
"B_Group.ToolTipService.ToolTip","Group","Group"
"B_Highlight.ToolTipService.ToolTip","Highlight","Highlight"
"B_Home.ToolTipService.ToolTip","Home","Home"
"B_Information.ToolTipService.ToolTip","Information","Information"
"B_JSInspect.ToolTipService.ToolTip","JS Inspect","JS Inspect"
"B_LinkBack.ToolTipService.ToolTip","Go back to link source","Go back to link source"
"B_Mail.ToolTipService.ToolTip","Mail","Mail"
"B_Male.Content","Male","Male"
"B_MatchCase.ToolTipService.ToolTip","Match case","Match case"
"B_MatchWWord.ToolTipService.ToolTip","Match whole word","Match whole word"
"B_Next.Content","Next","Next"
"B_NextLine.ToolTipService.ToolTip","Next Line (Ctrl + →)","Next Line (Ctrl + →)"
"B_NH.ToolTipService.ToolTip","Notes & Highlights","Notes & Highlights"
"B_OpenBook.Content","Open Book","Open Book"
"B_Pag1Cols.ToolTipService.ToolTip","Paginated 1 column","Paginated 1 column"
"B_Pag2Cols.ToolTipService.ToolTip","Paginated 2 columns","Paginated 2 columns"
"B_PagVertical.ToolTipService.ToolTip","Vertical scroll","Vertical scroll"
"B_PreviousLine.ToolTipService.ToolTip","Previous Line (Ctrl + ←)","Previous Line (Ctrl + ←)"
"B_PrivacyPolicy.ToolTipService.ToolTip","Privacy policy","Privacy policy"
"B_RateStore.ToolTipService.ToolTip","Rate on store","Rate on store"
"B_ReadAloud.ToolTipService.ToolTip","Read Aloud (Ctrl + R)","Read Aloud (Ctrl + R)"
"B_ReadAloud1.ToolTipService.ToolTip","ReadAloud","ReadAloud"
"B_ReadAloudSettings.ToolTipService.ToolTip","ReadAloud settings","ReadAloud settings"
"B_Refresh.ToolTipService.ToolTip","Refresh","Refresh"
"B_Remove.ToolTipService.ToolTip","Remove","Remove"
"B_Reset.ToolTipService.ToolTip","Reset","Reset"
"B_RmSyncFolderBtn1.Content","Yes, but keep books","Yes, but keep books"
"B_RmSyncFolderBtn2.Content","Yes, and remove books","Yes, and remove books"
"B_Save.Content","Save","Save"
"B_Search.ToolTipService.ToolTip","Search","Search"
"B_Search1.ToolTipService.ToolTip","Search (Ctrl + F)","Search (Ctrl + F)"
"B_SearchWeb.ToolTipService.ToolTip","Search web","Search web"
"B_SelectFolder.ToolTipService.ToolTip","Select folder","Select folder"
"B_SelectIcon.Content","Select icon","Select icon"
"B_ShowCB.ToolTipService.ToolTip","Show command bar","Show command bar"
"B_Sort.ToolTipService.ToolTip","Sort","Sort"
"B_Sync_Edit.ToolTipService.ToolTip","Edit","Edit"
"B_TextFormat.ToolTipService.ToolTip","Text Format","Text Format"
"B_TextStyle.ToolTipService.ToolTip","Text Style","Text Style"
"B_Theme1.Content","White","White"
"B_Theme1.ToolTipService.ToolTip","White (Ctrl + T + 1)","White (Ctrl + T + 1)"
"B_Theme2.Content","Silver","Silver"
"B_Theme2.ToolTipService.ToolTip","Silver (Ctrl + T + 2)","Silver (Ctrl + T + 2)"
"B_Theme3.Content","Sepia","Sepia"
"B_Theme3.ToolTipService.ToolTip","Sepia (Ctrl + T + 3)","Sepia (Ctrl + T + 3)"
"B_Theme4.Content","Night","Night"
"B_Theme4.ToolTipService.ToolTip","Night (Ctrl + T + 4)","Night (Ctrl + T + 4)"
"B_Theme5.Content","Solarized","Solarized"
"B_Theme5.ToolTipService.ToolTip","Solarized (Ctrl + T + 5)","Solarized (Ctrl + T + 5)"
"B_Theme6.Content","Custom","Custom"
"B_TOC.ToolTipService.ToolTip","Table Of Contents","Table Of Contents"
"B_ToggleFav.ToolTipService.ToolTip","Toggle Favorite","Toggle Favorite"
"B_ToggleFullscreen.ToolTipService.ToolTip","Toggle Fullscreen (F11)","Toggle Fullscreen (F11)"
"B_Translate.ToolTipService.ToolTip","Translate","Translate"
"B_Tw.ToolTipService.ToolTip","Follow us on Twitter","Follow us on Twitter"
"B_ZoomIn.ToolTipService.ToolTip","Zoom In","Zoom In"
"B_ZoomOut.ToolTipService.ToolTip","Zoom Out","Zoom Out"
"C_AddFolder_AddRecent.Content","Add books to recent list","Add books to recent list"
"C_AddFolder_AutoRemove.Content","Automatically remove books from the library (including notes, highlights, etc) when files are deleted from the folder","Automatically remove books from the library (including notes, highlights, etc) when files are deleted from the folder"
"C_AddFolder_RecSearch.Content","Recursively search sub-folders","Recursively search sub-folders"
