"Name","Value","Comment"
"B_Add.Content","","Add"
"B_AddBook.ToolTipService.ToolTip","","Add new book"
"B_AddBookmark.ToolTipService.ToolTip","","Add Bookmark"
"B_AddFolder.Content","","Add folder"
"B_AddNote.ToolTipService.ToolTip","","Add Note"
"B_AddSite.ToolTipService.ToolTip","","Add new site"
"B_AudioSettings.ToolTipService.ToolTip","","Audio settings"
"B_Back.Content","","Back"
"B_Back1.ToolTipService.ToolTip","","Back"
"B_Backup_Bkp.Content","","Backup"
"B_Backup_Restore.Content","","Restore"
"B_Blog.ToolTipService.ToolTip","","Read our blog"
"B_Bookmarks.ToolTipService.ToolTip","","Bookmarks"
"B_Cancel.Content","","Cancel"
"B_ChngLog.ToolTipService.ToolTip","","Change log"
"B_ClearHighlight.ToolTipService.ToolTip","","Clear highlight"
"B_Close.Content","","Close"
"B_Close1.ToolTipService.ToolTip","","Close"
"B_Collapse.ToolTipService.ToolTip","","Collapse"
"B_ColorMenu.ToolTipService.ToolTip","","Color Menu"
"B_ContactSupport.ToolTipService.ToolTip","","Contact support"
"B_Copy.ToolTipService.ToolTip","","Copy"
"B_Credits.ToolTipService.ToolTip","","Credits"
"B_Delete.Text","","Delete"
"B_DeleteNote.ToolTipService.ToolTip","","Delete note"
"B_Done.ToolTipService.ToolTip","","Done"
"B_Downloads.ToolTipService.ToolTip","","Downloads"
"B_ExitReadingMode.ToolTipService.ToolTip","","Exit Reading Mode (Ctrl + E)"
"B_Expand.ToolTipService.ToolTip","","Expand"
"B_ExportCollection.ToolTipService.ToolTip","","Export collections"
"B_Fb.ToolTipService.ToolTip","","Like us on Facebook"
"B_Female.Content","","Female"
"B_FilterFav.ToolTipService.ToolTip","","Filter by favorites"
"B_Forward.ToolTipService.ToolTip","","Forward"
"B_General.Content","","Reset"
"B_GitHub.ToolTipService.ToolTip","","GitHub"
"B_Group.ToolTipService.ToolTip","","Group"
"B_Highlight.ToolTipService.ToolTip","","Highlight"
"B_Home.ToolTipService.ToolTip","","Home"
"B_Information.ToolTipService.ToolTip","","Information"
