"Name","Value","Comment"
"B_Add.Content","Hozzáadás","Add"
"B_AddBook.ToolTipService.ToolTip","Új könyv hozzáadása","Add new book"
"B_AddBookmark.ToolTipService.ToolTip","Könyvjelző hozzáadása","Add Bookmark"
"B_AddFolder.Content","Mappa hozzáadása","Add folder"
"B_AddNote.ToolTipService.ToolTip","Jegyzet hozzáadása","Add Note"
"B_AddSite.ToolTipService.ToolTip","Új oldal hozzáadása","Add new site"
"B_AudioSettings.ToolTipService.ToolTip","Hangbeállítások","Audio settings"
"B_Back.Content","Vissza","Back"
"B_Back1.ToolTipService.ToolTip","Vissza","Back"
"B_Backup_Bkp.Content","Biztonsági mentés","Backup"
"B_Backup_Restore.Content","Helyreállítás","Restore"
"B_Blog.ToolTipService.ToolTip","Blog","Read our blog"
"B_Bookmarks.ToolTipService.ToolTip","Könyvjelzők","Bookmarks"
"B_Cancel.Content","Mégse","Cancel"
"B_ChngLog.ToolTipService.ToolTip","Változások","Change log"
"B_ClearHighlight.ToolTipService.ToolTip","Kiemelés megszüntetése","Clear highlight"
"B_Close.Content","Bezárás","Close"
"B_Close1.ToolTipService.ToolTip","Bezárás","Close"
"B_Collapse.ToolTipService.ToolTip","Összecsukás","Collapse"
"B_ColorMenu.ToolTipService.ToolTip","Menüszín","Color Menu"
"B_ContactSupport.ToolTipService.ToolTip","Támogatás kérése","Contact support"
"B_Copy.ToolTipService.ToolTip","Másolás","Copy"
"B_Credits.ToolTipService.ToolTip","Közreműködők","Credits"
"B_Delete.Text","Törlés","Delete"
"B_DeleteNote.ToolTipService.ToolTip","Jegyzet törlése","Delete note"
"B_Done.ToolTipService.ToolTip","Kész","Done"
"B_Downloads.ToolTipService.ToolTip","Letöltések","Downloads"
"B_ExitReadingMode.ToolTipService.ToolTip","Kilépés az olvasási módból (Ctrl + E)","Exit Reading Mode (Ctrl + E)"
"B_Expand.ToolTipService.ToolTip","Szétnyit","Expand"
"B_ExportCollection.ToolTipService.ToolTip","Gyűjtemény exportálása","Export collections"
"B_Fb.ToolTipService.ToolTip","Facebook oldal lájkolása","Like us on Facebook"
"B_Female.Content","Nőknek","Female"
"B_FilterFav.ToolTipService.ToolTip","Rendezés kedvencek szerint","Filter by favorites"
"B_Forward.ToolTipService.ToolTip","Előre","Forward"
"B_General.Content","Visszaállítás","Reset"
"B_GitHub.ToolTipService.ToolTip","GitHub","GitHub"
"B_Group.ToolTipService.ToolTip","Csoport","Group"
"B_Highlight.ToolTipService.ToolTip","Kiemelés","Highlight"
"B_Home.ToolTipService.ToolTip","Kezdőlap","Home"
"B_Information.ToolTipService.ToolTip","Információ","Information"
"B_JSInspect.ToolTipService.ToolTip","JS vizsgálata","JS Inspect"
"B_LinkBack.ToolTipService.ToolTip","Vissza a hivatkozás forrásához","Go back to link source"
"B_Mail.ToolTipService.ToolTip","Mail","Mail"
"B_Male.Content","Férfiaknak","Male"
"B_MatchCase.ToolTipService.ToolTip","Kis – és nagybetűk megkülönböztetése","Match case"
"B_MatchWWord.ToolTipService.ToolTip","Teljes szavak","Match whole word"
"B_Next.Content","Következő","Next"
"B_NextLine.ToolTipService.ToolTip","Következő sor (Ctrl + →) ","Next Line (Ctrl + →)"
"B_NH.ToolTipService.ToolTip","Jegyzetek és kiemelések","Notes & Highlights"
"B_OpenBook.Content","Könyv megnyitása","Open Book"
"B_Pag1Cols.ToolTipService.ToolTip","1 oszlopos elrendezés","Paginated 1 column"
