"Name","Value","Comment"
"B_Add.Content","Додати","Add"
"B_AddBook.ToolTipService.ToolTip","Додати нову книгу","Add new book"
"B_AddBookmark.ToolTipService.ToolTip","Додати закладку","Add Bookmark"
"B_AddFolder.Content","Додати папку","Add folder"
"B_AddNote.ToolTipService.ToolTip","Додати примітку","Add Note"
"B_AddSite.ToolTipService.ToolTip","Додати новий сайт","Add new site"
"B_AudioSettings.ToolTipService.ToolTip","Налаштування звуку","Audio settings"
"B_Back.Content","Назад","Back"
"B_Back1.ToolTipService.ToolTip","Назад","Back"
"B_Backup_Bkp.Content","Створити резервну копію","Backup"
"B_Backup_Restore.Content","Відновити","Restore"
"B_Blog.ToolTipService.ToolTip","Читати наш блог","Read our blog"
"B_Bookmarks.ToolTipService.ToolTip","Закладки","Bookmarks"
"B_Cancel.Content","Скасувати","Cancel"
"B_ChngLog.ToolTipService.ToolTip","Журнал змін","Change log"
"B_ClearHighlight.ToolTipService.ToolTip","Очистити виділення","Clear highlight"
"B_Close.Content","Закрити","Close"
"B_Close1.ToolTipService.ToolTip","Закрити","Close"
"B_Collapse.ToolTipService.ToolTip","Згорнути","Collapse"
"B_ColorMenu.ToolTipService.ToolTip","Меню кольору","Color Menu"
"B_ContactSupport.ToolTipService.ToolTip","Звернутися до служби підтримки","Contact support"
"B_Copy.ToolTipService.ToolTip","Копіювати","Copy"
"B_Credits.ToolTipService.ToolTip","Титри","Credits"
"B_Delete.Text","Видалити","Delete"
"B_DeleteNote.ToolTipService.ToolTip","Видалити примітку","Delete note"
"B_Done.ToolTipService.ToolTip","Готово","Done"
"B_Downloads.ToolTipService.ToolTip","Завантаження","Downloads"
"B_ExitReadingMode.ToolTipService.ToolTip","Вийти з режиму читання (Ctrl + E)","Exit Reading Mode (Ctrl + E)"
"B_Expand.ToolTipService.ToolTip","Розгорнути","Expand"
"B_ExportCollection.ToolTipService.ToolTip","Експортувати колекції","Export collections"
"B_Fb.ToolTipService.ToolTip","Вподобайте нас на Facebook","Like us on Facebook"
"B_Female.Content","Жіночий","Female"
"B_FilterFav.ToolTipService.ToolTip","Фільтрувати за обраним","Filter by favorites"
"B_Forward.ToolTipService.ToolTip","Вперед","Forward"
"B_General.Content","Скинути","Reset"
"B_GitHub.ToolTipService.ToolTip","GitHub","GitHub"
"B_Group.ToolTipService.ToolTip","Групувати","Group"
"B_Highlight.ToolTipService.ToolTip","Виділити маркером","Highlight"
"B_Home.ToolTipService.ToolTip","Головна","Home"
"B_Information.ToolTipService.ToolTip","Інформація","Information"
"B_JSInspect.ToolTipService.ToolTip","Інспектувати JS","JS Inspect"
"B_LinkBack.ToolTipService.ToolTip","Назад до джерела посилання","Go back to link source"
"B_Mail.ToolTipService.ToolTip","Пошта","Mail"
"B_Male.Content","Чоловічий","Male"
"B_MatchCase.ToolTipService.ToolTip","Враховувати регістр","Match case"
"B_MatchWWord.ToolTipService.ToolTip","Слово повністю","Match whole word"
"B_Next.Content","Далі","Next"
"B_NextLine.ToolTipService.ToolTip","Наступний рядок (Ctrl + →)","Next Line (Ctrl + →)"
"B_NH.ToolTipService.ToolTip","Примітки і виділення маркером","Notes & Highlights"
"B_OpenBook.Content","Відкрити книгу","Open Book"
"B_Pag1Cols.ToolTipService.ToolTip","1 колонка з поділом на сторінки","Paginated 1 column"
"B_Pag2Cols.ToolTipService.ToolTip","2 колонка з поділом на сторінки","Paginated 2 columns"
"B_PagVertical.ToolTipService.ToolTip","Прокручування по вертикалі","Vertical scroll"
"B_PreviousLine.ToolTipService.ToolTip","Попередній рядок (Ctrl + ←)","Previous Line (Ctrl + ←)"
"B_PrivacyPolicy.ToolTipService.ToolTip","Політика конфіденційності","Privacy policy"
"B_RateStore.ToolTipService.ToolTip","Оцінити в магазині","Rate on store"
"B_ReadAloud.ToolTipService.ToolTip","Читати вголос (Ctrl + R)","Read Aloud (Ctrl + R)"
"B_ReadAloud1.ToolTipService.ToolTip","Читання вголос","ReadAloud"
"B_ReadAloudSettings.ToolTipService.ToolTip","Налаштування читання вголос","ReadAloud settings"
"B_Refresh.ToolTipService.ToolTip","Оновити","Refresh"
"B_Remove.ToolTipService.ToolTip","Прибрати","Remove"
"B_Reset.ToolTipService.ToolTip","Скинути","Reset"
"B_RmSyncFolderBtn1.Content","Так, але книги залишити","Yes, but keep books"
"B_RmSyncFolderBtn2.Content","Так, і книги теж прибрати","Yes, and remove books"
"B_Save.Content","Зберегти","Save"
"B_Search.ToolTipService.ToolTip","Пошук","Search"
"B_Search1.ToolTipService.ToolTip","Шукати (Ctrl + F)","Search (Ctrl + F)"
"B_SearchWeb.ToolTipService.ToolTip","Шукати в мережі","Search web"
"B_SelectFolder.ToolTipService.ToolTip","Вибрати папку","Select folder"
"B_SelectIcon.Content","Вибрати значок","Select icon"
"B_ShowCB.ToolTipService.ToolTip","Показати панель команд","Show command bar"
"B_Sort.ToolTipService.ToolTip","Сортувати","Sort"
"B_Sync_Edit.ToolTipService.ToolTip","Редагувати","Edit"
"B_TextFormat.ToolTipService.ToolTip","Формат тексту","Text Format"
"B_TextStyle.ToolTipService.ToolTip","Стиль тексту","Text Style"
"B_Theme1.Content","Біла","White"
"B_Theme1.ToolTipService.ToolTip","Біла (Ctrl + T + 1)","White (Ctrl + T + 1)"
"B_Theme2.Content","Срібна","Silver"
"B_Theme2.ToolTipService.ToolTip","Срібна (Ctrl + T + 2)","Silver (Ctrl + T + 2)"
"B_Theme3.Content","Сепія","Sepia"
